UKPRN,NAME,SHORT NAME,CODE,GROUP,RANKING,WORLD RANKING
10003768,Lancaster and Morecambe College,,,,,
10003855,Leeds College of Building,LCB,L32,,,
10003867,Leicester College,LCOLL,L36,,,
10003894,Lewisham Southwark College,LSCO,L01,,,
10003928,Lincoln College,LINCN,L42,,,
10003955,The City of Liverpool College,COLC,L43,,,
10004112,Loughborough College,LOUGH,L77,,,
10004116,Lowestoft College,,,,,
10004144,Macclesfield College,,,,,
10004339,Mid-Cheshire College,MCCFE,M77,,,
10004340,Mid-Kent College,MKENT,M87,,,
10004344,Middlesbrough College,,,,,
10004375,Milton Keynes College,MKCOL,M89,,,
10004442,Moulton College,MOULT,M93,,,
10004478,Myerscough College,MYERS,M99,,,
10004552,Nelson and Colne College,,,,,
10004576,New College Durham,NCD,N28,,,
10004577,New College Nottingham (NCN),NCN,N30,,,
10004579,New College Swindon,,,,,
10004580,New College Telford,NCT,N51,,,
10004596,Newbury College,,,,,
10004599,NCG,NCAST,N23,,,
10004607,Newham College of Further Education,NHAM,N31,,,
10004676,Petroc,PETRO,P51,,,
10004686,North East Surrey College of Technology (NESCOT),NESCT,N49,,,
10004690,North Hertfordshire College,NHC,N57,,,
10004695,North Lindsey College,NLIND,N64,,,
10004718,North Warwickshire and South Leicestershire College,NWHC,N79,,,
10004721,North Kent College,NKC,N85 ,,,
10004736,Northbrook College Sussex,NBRK,N41,,,
10004760,Northumberland College,NUMBC,N78,,,
10000163,AECC Chiropractic College,AECC,A65,,,
10004772,City College Norwich,NCC,N82,,,
10004835,Oaklands College,OAK,O12,,,
10004927,Activate Learning,OXCH,O25,,,
10005032,Salford City College,SALCC,S11,,,
10005072,Peter Symonds College,PSC,P52,,,
10005077,Peterborough Regional College,PETER,P56,,,
10005124,Plumpton College,PLUMN,P59,,,
10005127,Plymouth College of Art,PCAD,P65,,,
10005128,City College Plymouth,CPLYM,C83,,,
10005200,Preston College,,,,,
10005404,Reaseheath College,RHC,R14,,,
10005414,Redcar and Cleveland College,,,,,
10005465,Richard Huish College,,,,,
10005469,Richmond upon Thames College,,,,,
10005534,RNN Group,RCAT,R52,,,
10005575,Runshaw College,RUNSH,R88,,,
10005583,Ruskin College,RUSKC,R90,,,
10005669,Sandwell College,SAND,S08,,,
10005736,SEEVIC College,SEEV,V03,,,
10005741,Selby College,SELBY,S06,,,
10005788,The Sheffield College,SCOLL,S22,,,
10005946,Solihull College,SOLI,S26,,,
10005956,Somerset College,SOMER,S28,,,
10005967,South and City College Birmingham,SCCB,S20,,,
10005977,South Devon College,SDEV,S32,,,
10005979,South Downs College,SDC,S42,,,
10005981,South Essex College of Further and Higher Education,SEEC,S43,,,
10005991,Central College Nottingham,CCNOT,C32,,,
10005997,South Thames College,SRUC,S50,,,
10005998,Trafford College,,,,,
10005999,South Tyneside College,STYNE,S52,,,
10006002,Stratford-upon-Avon College,STUAC,S74,,,
10006020,Southampton City College,SCCOL,S67,,,
10006038,Southport College,SOCO,S35,,,
10006050,Sparsholt College,SPAR,S34,,,
10006174,St Helens College,STHEL,S51,,,
10006226,St Mary's College,0,S62,,,
10006268,St Vincent College,,,,,
10006293,Stafford College,,,,,
10006303,New College Stamford,NCS,N33,,,
10006322,Stephenson College,,,,,
10006331,Stockport College,STOCK,S76,,,
10006341,Stockton Riverside College,,,,,
10006349,Stoke-on-Trent College,,,,,
10006378,Strode College,,,,,
10006398,Suffolk New College,,,,,
10006432,Sussex Downs College,SDCOL,S89,,,
10006442,Birmingham Metropolitan College,BMET,B30,,,
10006463,Swindon College,SWIN,S98,,,
10006494,Tameside College,TAMES,T10,,,
10006549,Telford College of Arts and Technology,,,,,
10006770,The Oldham College,UCO,O10,,,
10007035,Tresham College of Further and Higher Education,,,,,
10007063,Truro and Penwith College,TRURO,T85,,,
10007193,Uxbridge College,UXBC,U95,,,
10007289,Wakefield College,WAKEC,W08,,,
10007299,North Shropshire College,,,,,
10007315,Walsall College,WALLS,W12,,,
10007339,Warrington Collegiate,WARR,W17,,,
10007407,West Cheshire College,WCC,W36,,,
10007417,West Herts College,,,,,
10007419,West Kent and Ashford College,KCOLL,K01,,,
10007427,West Nottinghamshire College,,,,,
10007431,West Suffolk College,,,,,
10007434,West Thames College,WTC,W65,,,
10007455,Westminster Kingsway College,WESTCL,W52,,,
10007459,Weston College of Further and Higher Education,WSTON,W47,,,
10007469,Weymouth College,WEYC,W66,,,
10007500,Wigan and Leigh College,WIGAN,W67,,,
10007527,Wiltshire College,WILT,W74,,,
10007553,Wirral Metropolitan College,WMC,W73,,,
10007578,City of Wolverhampton College,CWC,C96,,,
10007696,Yeovil College,YEOV,Y25,,,
10007709,York College,YCOLL,Y70,,,
10007817,Chichester College,CHCOL,C57,,,
10007834,Pembrokeshire College,PEMB,P35,,,
10007859,Warwickshire College,WARKS,W25,,,
10007924,Dudley College,DUDL,D58,,,
10007928,Fareham College,FAREC,F55,,,
10007938,Grimsby Institute of Further and Higher Education,GRIMC,G80,,,
10007945,Highbury College Portsmouth,HIGHC,H39,,,
10007977,Heart of Worcestershire College,HWC,H19,,,
10008119,Bridgend College of Technology,BDGC,B68,,,
10008569,Tyne Metropolitan College,TMC,T90,,,
10008912,Coleg Gwent,,,,,
10008914,Coleg Y Cymoedd,,,,,
10009619,Merthyr Tydfil College Limited,,,,,
10023139,The Manchester College,MCOL,M10,,,
10023526,South Staffordshire College,,,,,
10024962,Leeds City College,LCCOL,L21,,,
10034450,Cardiff and Vale College,,,,,
10036143,South Gloucestershire and Stroud College,SGSC,S55,,,
10007838,Royal Welsh College for Music and Drama Limited,,,,,
10037344,Easton and Otley College,EASTC,E30,,,
10006389,The Interactive Design Institute Limited,,,,,
10008397,Norland College Limited,NNCT,N52,,,
10032299,Tech Music Schools,,,,,
10001386,Chicken Shed Theatre Company,,,,,
10022087,Futureworks,,,,,
10037544,Brighton Institute of Modern Music,BIMM,B39,,,
10041563,Shockout Arts,,,,,
10046069,EMU Education Limited,,,,,
10043164,UCFB College of Football Business Limited,UCFB,U10,,,
10044301,Edge Hotel School,EHS,E41,,,
10042194,Kaplan Holborn College,,,,,
10000047,The Association of British Dispensing Opticians,,,,,
10000911,BCNO Limited,BCOM,B81,,,
10001288,"Institute for Children, Youth and Mission",,,,,
10001309,Coventry and Warwickshire Chambers of Commerce Training Limited,,,,,
